standardized_cluster_component,n,standardized_fold,pEC50_minimum,pEC50_median,pEC50_maximum
766,1,4,2.02,2.02,2.02
767,1,3,4.66,4.66,4.66
768,1,0,3.63,3.63,3.63
769,1,4,5.29,5.29,5.29
770,1,3,1.71,1.71,1.71
771,1,3,5.45,5.45,5.45
772,1,4,4.92,4.92,4.92
773,1,1,4.34,4.34,4.34
774,1,3,5.41,5.41,5.41
775,1,3,4.17,4.17,4.17
776,1,0,4.98,4.98,4.98
777,1,3,4.8,4.8,4.8
778,1,4,4.04,4.04,4.04
779,1,2,4.62,4.62,4.62
780,1,4,5.07,5.07,5.07
781,1,1,4.99,4.99,4.99
782,1,2,2.93,2.93,2.93
783,1,2,5.58,5.58,5.58
784,1,2,5.87,5.87,5.87
785,1,0,4.43,4.43,4.43
786,1,1,4.24,4.24,4.24
787,1,1,2.25,2.25,2.25
788,2,0,2.22,3.24,4.26
789,1,4,5.64,5.64,5.64
790,1,2,2.88,2.88,2.88
791,1,1,1.78,1.78,1.78
792,1,3,3.52,3.52,3.52
793,1,1,4.22,4.22,4.22
794,1,1,2.16,2.16,2.16
795,3,0,4.41,4.72,5.1
796,1,4,6.11,6.11,6.11
797,1,2,4.23,4.23,4.23
798,1,1,4.9,4.9,4.9
799,1,1,5.39,5.39,5.39
800,1,4,2.68,2.68,2.68
801,1,2,1.65,1.65,1.65
802,1,3,5.15,5.15,5.15
803,1,3,4.26,4.26,4.26
804,1,0,5.72,5.72,5.72
805,1,3,5.08,5.08,5.08
806,2,3,1.95,3.125,4.3
807,1,2,4.44,4.44,4.44
808,1,1,4.25,4.25,4.25
809,1,2,3.05,3.05,3.05
810,1,1,5.3,5.3,5.3
811,1,3,3.45,3.45,3.45
812,1,2,4.07,4.07,4.07
813,1,0,4.91,4.91,4.91
814,1,1,4.16,4.16,4.16
815,1,2,5.38,5.38,5.38
816,1,4,5.34,5.34,5.34
817,1,3,3.55,3.55,3.55
818,1,1,5.49,5.49,5.49
819,1,2,4.68,4.68,4.68
820,1,3,5.53,5.53,5.53
821,4,0,2.06,3.035,3.58
822,1,3,1.96,1.96,1.96
823,1,0,4.66,4.66,4.66
824,1,1,4.3,4.3,4.3
825,1,3,4.56,4.56,4.56
826,1,3,1.79,1.79,1.79
827,1,1,3.77,3.77,3.77
828,1,2,4.77,4.77,4.77
829,1,4,4.38,4.38,4.38
830,1,1,5.89,5.89,5.89
831,1,4,4.52,4.52,4.52
832,1,0,4.64,4.64,4.64
833,1,0,5.11,5.11,5.11
834,1,3,5.9,5.9,5.9
835,1,0,4.74,4.74,4.74
836,1,1,4.85,4.85,4.85
837,1,2,5.05,5.05,5.05
838,1,3,3.9,3.9,3.9
839,1,4,5.08,5.08,5.08
840,1,3,2.7,2.7,2.7
841,1,1,2.79,2.79,2.79
842,1,0,4.96,4.96,4.96
843,1,1,4.95,4.95,4.95
844,1,4,1.73,1.73,1.73
845,1,2,5.21,5.21,5.21
846,1,1,5.11,5.11,5.11
847,1,2,5.33,5.33,5.33
848,2,2,3.8,4.355,4.91
849,1,2,5.03,5.03,5.03
850,1,1,4.54,4.54,4.54
851,1,4,5.89,5.89,5.89
852,1,1,5.14,5.14,5.14
853,2,3,4.29,4.455,4.62
854,1,4,5.04,5.04,5.04
855,1,4,5.39,5.39,5.39
856,1,4,2.45,2.45,2.45
857,1,2,3.41,3.41,3.41
858,1,4,5.27,5.27,5.27
859,1,1,4.68,4.68,4.68
860,1,2,3.17,3.17,3.17
861,1,3,4.65,4.65,4.65
862,1,4,3.95,3.95,3.95
863,1,0,4.37,4.37,4.37
864,1,3,4.67,4.67,4.67
865,1,4,3.99,3.99,3.99
866,1,2,4.6,4.6,4.6
867,1,0,5.44,5.44,5.44
868,1,3,4.55,4.55,4.55
869,1,1,4.69,4.69,4.69
870,1,3,5.09,5.09,5.09
871,1,2,1.8,1.8,1.8
872,3,0,1.88,2.64,4.12
873,1,0,5.08,5.08,5.08
874,1,2,4.9,4.9,4.9
875,1,1,5.24,5.24,5.24
876,1,0,4.16,4.16,4.16
877,1,3,5.14,5.14,5.14
878,1,0,5.88,5.88,5.88
879,1,1,4.39,4.39,4.39
880,1,3,3.39,3.39,3.39
881,1,3,4.5,4.5,4.5
882,1,1,3.98,3.98,3.98
883,1,2,2.27,2.27,2.27
884,1,4,4.97,4.97,4.97
885,1,3,3.1,3.1,3.1
886,1,1,5.06,5.06,5.06
887,1,0,4.86,4.86,4.86
888,1,0,3.42,3.42,3.42
889,1,3,1.81,1.81,1.81
890,1,3,5.57,5.57,5.57
891,1,4,4.5,4.5,4.5
892,1,2,5.75,5.75,5.75
893,1,4,4.97,4.97,4.97
894,1,0,1.75,1.75,1.75
895,1,1,2.57,2.57,2.57
896,1,0,5.15,5.15,5.15
897,1,1,4.87,4.87,4.87
898,1,3,4.83,4.83,4.83
899,1,2,1.72,1.72,1.72
900,1,0,5.07,5.07,5.07
901,1,1,4.37,4.37,4.37
902,1,3,3.09,3.09,3.09
903,1,4,5.25,5.25,5.25
904,1,2,5.08,5.08,5.08
905,1,1,5.33,5.33,5.33
906,1,2,5.19,5.19,5.19
907,1,2,5.34,5.34,5.34
908,11,0,3.28,5.69,7.54855421686747
909,1,1,4.04,4.04,4.04
910,1,4,4.26,4.26,4.26
911,1,3,4.26,4.26,4.26
912,1,2,1.62,1.62,1.62
913,1,0,4.04,4.04,4.04
914,1,2,4.53,4.53,4.53
915,1,2,5.24,5.24,5.24
916,1,1,2.55,2.55,2.55
917,1,0,4.46,4.46,4.46
918,1,0,5.46,5.46,5.46
919,1,0,2.95,2.95,2.95
920,1,4,4.41,4.41,4.41
921,5,0,2.65,4.35,5.58
922,1,4,5.33,5.33,5.33
923,1,0,5.36,5.36,5.36
924,4,1,2.37,4.195,5.02
925,1,4,4.2,4.2,4.2
926,1,1,2.06,2.06,2.06
927,1,1,5.03,5.03,5.03
928,1,4,3.99,3.99,3.99
929,1,3,4.37,4.37,4.37
930,1,2,5.2,5.2,5.2
931,1,4,2.73,2.73,2.73
932,1,3,5.46,5.46,5.46
933,1,4,5.6,5.6,5.6
934,1,2,3.46,3.46,3.46
935,1,0,5.54,5.54,5.54
936,1,3,5.545,5.545,5.545
937,1,1,4.97,4.97,4.97
938,1,0,2.64,2.64,2.64
939,1,1,5.06,5.06,5.06
940,1,0,4.73,4.73,4.73
941,1,1,2.11,2.11,2.11
942,1,3,4.55,4.55,4.55
943,1,4,6.494999999999999,6.494999999999999,6.494999999999999
944,1,1,5.69,5.69,5.69
945,1,4,4.79,4.79,4.79
946,2,0,3.89,3.92,3.95
947,1,2,4.27,4.27,4.27
948,1,4,2.69,2.69,2.69
949,1,3,2.95,2.95,2.95
950,1,0,1.92,1.92,1.92
951,1,3,5.02,5.02,5.02
952,1,3,3.25,3.25,3.25
953,1,2,2.49,2.49,2.49
954,1,3,4.34,4.34,4.34
955,1,3,5.38,5.38,5.38
956,1,0,4.79,4.79,4.79
957,1,0,4.59,4.59,4.59
958,1,0,4.59,4.59,4.59
959,2,3,4.73,5.17,5.61
960,1,0,2.05,2.05,2.05
961,1,0,3.49,3.49,3.49
962,1,4,5.02,5.02,5.02
963,1,2,5.05,5.05,5.05
964,1,2,4.64,4.64,4.64
965,1,0,1.81,1.81,1.81
966,1,4,4.59,4.59,4.59
967,1,4,5.39,5.39,5.39
968,1,0,4.78,4.78,4.78
969,1,4,5.97,5.97,5.97
970,1,2,3.61,3.61,3.61
971,2,0,4.84,5.25,5.66
972,1,2,3.32,3.32,3.32
973,1,1,5.1,5.1,5.1
974,1,4,3.48,3.48,3.48
975,1,3,1.61,1.61,1.61
976,1,0,4.96,4.96,4.96
977,1,3,5.3,5.3,5.3
978,1,3,4.99,4.99,4.99
979,1,0,5.22,5.22,5.22
980,1,1,2.68,2.68,2.68
981,1,1,5.12,5.12,5.12
982,1,2,5.35,5.35,5.35
983,1,4,2.74,2.74,2.74
984,1,4,4.42,4.42,4.42
985,1,2,5.04,5.04,5.04
986,1,4,4.64,4.64,4.64
987,2,3,4.49,4.65,4.81
988,1,3,5.19,5.19,5.19
989,1,4,5.47,5.47,5.47
990,1,3,5.38,5.38,5.38
991,1,3,5.14,5.14,5.14
992,1,0,3.97,3.97,3.97
993,1,4,4.05,4.05,4.05
994,1,4,5.03,5.03,5.03
995,1,2,5.25,5.25,5.25
996,1,4,5.48,5.48,5.48
997,1,3,4.49,4.49,4.49
998,1,0,4.35,4.35,4.35
999,1,2,5.72,5.72,5.72
1000,1,0,2.23,2.23,2.23
1001,1,2,4.58,4.58,4.58
1002,1,4,4.28,4.28,4.28
1003,1,3,2.35,2.35,2.35
1004,1,2,4.8,4.8,4.8
1005,1,4,5.14,5.14,5.14
1006,1,4,4.26,4.26,4.26
1007,1,1,3.15,3.15,3.15
1008,1,2,4.6,4.6,4.6
1009,1,2,6.33,6.33,6.33
1010,1,4,4.47,4.47,4.47
1011,1,3,5.51,5.51,5.51
1012,1,4,5.05,5.05,5.05
1013,4,3,4.89,5.494999999999999,5.74
1014,1,1,4.31,4.31,4.31
1015,1,2,4.65,4.65,4.65
1016,1,4,3.48,3.48,3.48
1017,1,2,5.23,5.23,5.23
1018,1,3,5.4,5.4,5.4
1019,1,2,4.86,4.86,4.86
1020,1,0,2.69,2.69,2.69
1021,1,3,2.59,2.59,2.59
1022,1,3,3.33,3.33,3.33
1023,1,2,2.98,2.98,2.98
1024,1,0,2.43,2.43,2.43
1025,1,3,5.03,5.03,5.03
1026,1,3,4.71,4.71,4.71
1027,1,0,4.81,4.81,4.81
1028,1,0,4.28,4.28,4.28
1029,1,3,5.35,5.35,5.35
1030,1,0,4.75,4.75,4.75
1031,1,3,5.07,5.07,5.07
1032,1,4,6.52,6.52,6.52
1033,1,2,5.01,5.01,5.01
1034,1,2,5.69,5.69,5.69
1035,1,0,2.04,2.04,2.04
1036,1,2,4.71,4.71,4.71
1037,1,3,4.84,4.84,4.84
1038,1,1,4.86,4.86,4.86
1039,1,1,1.88,1.88,1.88
1040,1,3,3.96,3.96,3.96
1041,1,4,5.68,5.68,5.68
1042,1,2,4.45,4.45,4.45
1043,1,2,1.75,1.75,1.75
1044,1,3,5.39,5.39,5.39
1045,1,0,2.3,2.3,2.3
1046,1,2,5.86,5.86,5.86
1047,1,1,4.52,4.52,4.52
1048,1,3,5.29,5.29,5.29
1049,1,1,5.62,5.62,5.62
1050,1,1,4.15,4.15,4.15
1051,1,1,4.34,4.34,4.34
1052,1,1,5.77,5.77,5.77
1053,1,3,4.46,4.46,4.46
1054,1,3,4.82,4.82,4.82
1055,2,2,4.97,5.074999999999999,5.18
1056,1,0,4.74,4.74,4.74
1057,1,0,3.17,3.17,3.17
1058,1,4,4.3,4.3,4.3
1059,1,1,3.78,3.78,3.78
1060,1,1,3.68,3.68,3.68
1061,1,1,5.03,5.03,5.03
1062,1,3,5.22,5.22,5.22
1063,1,4,2.25,2.25,2.25
1064,1,3,4.87,4.87,4.87
1065,1,4,3.47,3.47,3.47
1066,1,0,5.83,5.83,5.83
1067,1,2,5.55,5.55,5.55
1068,1,0,2.1,2.1,2.1
1069,1,0,4.33,4.33,4.33
1070,1,1,5.945,5.945,5.945
1071,1,1,4.28,4.28,4.28
1072,1,3,5.38,5.38,5.38
1073,1,1,4.63,4.63,4.63
1074,1,2,4.65,4.65,4.65
1075,1,4,3.87,3.87,3.87
1076,2,3,2.75,3.56,4.37
1077,1,1,3.07,3.07,3.07
1078,1,4,4.59,4.59,4.59
1079,1,3,3.94,3.94,3.94
1080,1,1,5.87,5.87,5.87
1081,1,4,4.59,4.59,4.59
1082,1,2,5.19,5.19,5.19
1083,1,1,4.78,4.78,4.78
1084,1,2,4.91,4.91,4.91
1085,1,3,5.11,5.11,5.11
1086,1,2,5.19,5.19,5.19
1087,1,4,4.85,4.85,4.85
1088,1,4,4.81,4.81,4.81
1089,1,0,4.96,4.96,4.96
1090,1,3,3.79,3.79,3.79
1091,1,3,4.88,4.88,4.88
1092,1,1,5.84,5.84,5.84
1093,1,3,4.23,4.23,4.23
1094,1,3,4.99,4.99,4.99
1095,1,2,4.57,4.57,4.57
1096,1,4,4.67,4.67,4.67
1097,1,4,5.1,5.1,5.1
1098,1,2,4.91,4.91,4.91
1099,1,3,4.26,4.26,4.26
1100,1,0,3.48,3.48,3.48
1101,1,3,4.87,4.87,4.87
1102,1,0,5.08,5.08,5.08
1103,1,0,5.55,5.55,5.55
1104,1,4,4.82,4.82,4.82
1105,1,4,3.69,3.69,3.69
1106,1,4,4.67,4.67,4.67
1107,1,3,4.09,4.09,4.09
1108,1,2,1.82,1.82,1.82
1109,1,2,5.44,5.44,5.44
1110,1,3,5.05,5.05,5.05
1111,1,2,4.66,4.66,4.66
1112,1,4,5.38,5.38,5.38
1113,1,1,5.13,5.13,5.13
1114,3,2,4.0,4.12,4.24
1115,1,4,5.42,5.42,5.42
1116,1,3,2.96,2.96,2.96
1117,1,4,3.83,3.83,3.83
1118,1,4,2.47,2.47,2.47
1119,1,1,5.03,5.03,5.03
1120,1,0,1.74,1.74,1.74
1121,1,3,5.7,5.7,5.7
1122,1,4,3.09,3.09,3.09
1123,1,2,5.22,5.22,5.22
1124,1,2,5.2,5.2,5.2
1125,1,4,3.86,3.86,3.86
1126,1,4,5.17,5.17,5.17
1127,1,0,1.94,1.94,1.94
1128,1,0,4.61,4.61,4.61
1129,1,1,4.87,4.87,4.87
1130,1,1,4.38,4.38,4.38
1131,1,0,4.42,4.42,4.42
1132,1,0,3.1,3.1,3.1
1133,1,0,4.92,4.92,4.92
1134,1,4,5.83,5.83,5.83
1135,1,1,4.69,4.69,4.69
1136,1,1,3.23,3.23,3.23
1137,1,0,4.54,4.54,4.54
1138,1,0,4.36,4.36,4.36
1139,1,3,4.49,4.49,4.49
1140,1,0,4.39,4.39,4.39
1141,1,3,5.865,5.865,5.865
1142,1,0,5.19,5.19,5.19
1143,1,0,1.76,1.76,1.76
1144,1,1,5.74,5.74,5.74
1145,1,2,4.22,4.22,4.22
1146,1,2,5.11,5.11,5.11
1147,1,1,3.86,3.86,3.86
1148,1,1,4.66,4.66,4.66
1149,1,0,5.05,5.05,5.05
1150,1,3,3.86,3.86,3.86
1151,1,2,3.53,3.53,3.53
1152,1,3,5.62,5.62,5.62
1153,1,3,4.8,4.8,4.8
1154,1,0,2.71,2.71,2.71
1155,1,4,5.19,5.19,5.19
1156,1,4,4.97,4.97,4.97
1157,1,4,5.29,5.29,5.29
1158,1,2,4.52,4.52,4.52
1159,1,1,5.54,5.54,5.54
1160,1,4,5.06,5.06,5.06
1161,1,0,4.92,4.92,4.92
1162,1,1,4.36,4.36,4.36
1163,1,4,4.95,4.95,4.95
1164,1,4,4.81,4.81,4.81
1165,1,0,3.04,3.04,3.04
1166,1,3,4.93,4.93,4.93
1167,1,3,4.53,4.53,4.53
1168,1,3,5.16,5.16,5.16
1169,1,1,4.87,4.87,4.87
1170,1,4,5.33,5.33,5.33
1171,1,4,4.71,4.71,4.71
1172,1,0,4.99,4.99,4.99
1173,1,2,4.95,4.95,4.95
1174,1,0,5.03,5.03,5.03
1175,1,3,4.33,4.33,4.33
1176,1,1,4.38,4.38,4.38
1177,1,2,5.17,5.17,5.17
1178,1,1,5.06,5.06,5.06
1179,2,0,4.43,4.449999999999999,4.47
1180,1,1,5.27,5.27,5.27
1181,1,1,5.12,5.12,5.12
1182,1,1,4.53,4.53,4.53
1183,1,4,5.0,5.0,5.0
1184,1,1,4.27,4.27,4.27
1185,1,1,4.78,4.78,4.78
1186,1,3,4.99,4.99,4.99
1187,1,0,4.52,4.52,4.52
1188,1,0,4.04,4.04,4.04
1189,1,1,3.1,3.1,3.1
1190,1,3,5.23,5.23,5.23
1191,2,3,3.92,4.475,5.03
1192,1,3,4.23,4.23,4.23
1193,1,1,5.59,5.59,5.59
1194,1,1,4.73,4.73,4.73
1195,1,4,3.44,3.44,3.44
1196,1,0,5.01,5.01,5.01
1197,1,0,6.56,6.56,6.56
1198,1,3,5.8,5.8,5.8
1199,1,3,4.54,4.54,4.54
1200,1,0,5.08,5.08,5.08
1201,1,3,1.82,1.82,1.82
1202,2,2,3.16,4.035,4.91
1203,1,0,2.84,2.84,2.84
1204,1,0,4.89,4.89,4.89
1205,1,4,2.95,2.95,2.95
1206,1,4,4.83,4.83,4.83
1207,1,3,5.11,5.11,5.11
1208,1,3,2.96,2.96,2.96
1209,1,2,5.02,5.02,5.02
1210,1,2,5.74,5.74,5.74
1211,1,4,4.88,4.88,4.88
1212,1,0,5.4,5.4,5.4
1213,1,3,5.18,5.18,5.18
1214,5,1,3.05,3.92,4.81
1215,1,0,3.4,3.4,3.4
1216,1,2,5.17,5.17,5.17
1217,1,3,4.54,4.54,4.54
1218,1,1,5.07,5.07,5.07
1219,1,4,4.81,4.81,4.81
1220,1,3,5.08,5.08,5.08
1221,1,3,5.16,5.16,5.16
1222,1,2,3.95,3.95,3.95
1223,1,2,4.33,4.33,4.33
1224,1,0,4.98,4.98,4.98
1225,1,0,1.82,1.82,1.82
1226,2,2,1.75,1.76,1.77
1227,1,3,4.23,4.23,4.23
1228,1,2,5.09,5.09,5.09
1229,1,2,4.76,4.76,4.76
1230,1,1,5.0,5.0,5.0
1231,1,3,5.21,5.21,5.21
1232,1,3,4.6,4.6,4.6
1233,1,4,4.86,4.86,4.86
1234,1,3,5.26,5.26,5.26
1235,1,2,4.78,4.78,4.78
1236,1,0,3.38,3.38,3.38
1237,1,3,5.47,5.47,5.47
1238,1,0,5.04,5.04,5.04
1239,1,4,2.42,2.42,2.42
1240,1,1,5.61,5.61,5.61
1241,1,3,3.01,3.01,3.01
1242,1,0,5.16,5.16,5.16
1243,1,2,5.1,5.1,5.1
1244,1,1,4.25,4.25,4.25
1245,1,0,3.98,3.98,3.98
1246,1,4,3.1,3.1,3.1
1247,1,2,2.94,2.94,2.94
1248,1,4,4.09,4.09,4.09
1249,2,0,3.89,4.37,4.85
1250,1,1,1.79,1.79,1.79
1251,1,3,4.17,4.17,4.17
1252,1,4,1.86,1.86,1.86
1253,1,3,1.63,1.63,1.63
1254,1,4,3.89,3.89,3.89
1255,1,3,4.61,4.61,4.61
1256,1,0,4.44,4.44,4.44
1257,1,1,5.46,5.46,5.46
1258,1,0,3.09,3.09,3.09
1259,1,2,5.3,5.3,5.3
1260,1,1,5.0,5.0,5.0
1261,1,4,4.36,4.36,4.36
1262,1,0,5.19,5.19,5.19
1263,1,4,4.58,4.58,4.58
1264,1,3,4.57,4.57,4.57
1265,1,4,1.81,1.81,1.81
1266,1,3,5.52,5.52,5.52
1267,1,1,4.09,4.09,4.09
1268,1,0,4.59,4.59,4.59
1269,1,0,5.89,5.89,5.89
1270,1,4,5.07,5.07,5.07
1271,1,0,5.77,5.77,5.77
1272,1,1,5.23,5.23,5.23
1273,1,1,3.55,3.55,3.55
1274,1,3,2.62,2.62,2.62
1275,1,1,4.74,4.74,4.74
1276,1,1,4.06,4.06,4.06
1277,1,1,4.67,4.67,4.67
1278,1,4,4.89,4.89,4.89
1279,1,0,4.29,4.29,4.29
1280,1,1,5.24,5.24,5.24
1281,1,1,4.38,4.38,4.38
1282,1,3,5.33,5.33,5.33
1283,1,1,4.09,4.09,4.09
1284,1,0,5.455,5.455,5.455
1285,1,3,4.24,4.24,4.24
1286,1,0,3.76,3.76,3.76
1287,1,0,4.44,4.44,4.44
1288,1,2,5.38,5.38,5.38
1289,1,2,2.01,2.01,2.01
1290,1,2,4.67,4.67,4.67
1291,1,1,4.41,4.41,4.41
1292,1,2,4.73,4.73,4.73
1293,1,0,4.885,4.885,4.885
1294,1,2,5.66,5.66,5.66
1295,1,4,4.98,4.98,4.98
1296,1,1,1.87,1.87,1.87
1297,1,1,4.89,4.89,4.89
1298,1,2,5.41,5.41,5.41
1299,1,4,5.31,5.31,5.31
1300,1,2,5.13,5.13,5.13
1301,1,2,4.94,4.94,4.94
1302,1,3,1.72,1.72,1.72
1303,1,3,3.71,3.71,3.71
1304,1,3,4.59,4.59,4.59
1305,1,4,4.81,4.81,4.81
1306,1,3,5.15,5.15,5.15
1307,1,1,5.64,5.64,5.64
1308,1,0,3.35,3.35,3.35
1309,1,0,2.57,2.57,2.57
1310,1,0,4.6,4.6,4.6
1311,1,1,5.06,5.06,5.06
1312,1,3,4.77,4.77,4.77
1313,3,0,1.99,2.51,3.29
1314,1,0,5.33,5.33,5.33
1315,1,0,4.61,4.61,4.61
1316,1,1,4.63,4.63,4.63
1317,1,3,2.97,2.97,2.97
1318,1,1,4.27,4.27,4.27
1319,1,2,6.14,6.14,6.14
1320,1,0,5.25,5.25,5.25
1321,1,3,5.17,5.17,5.17
1322,1,2,3.61,3.61,3.61
1323,1,2,3.01,3.01,3.01
1324,1,2,2.49,2.49,2.49
1325,1,2,4.04,4.04,4.04
1326,1,4,5.11,5.11,5.11
1327,1,1,5.22,5.22,5.22
1328,1,4,5.32,5.32,5.32
1329,1,0,5.09,5.09,5.09
1330,1,3,3.15,3.15,3.15
1331,1,0,2.81,2.81,2.81
1332,1,0,4.27,4.27,4.27
1333,1,0,3.01,3.01,3.01
1334,1,1,5.015000000000001,5.015000000000001,5.015000000000001
1335,1,1,5.48,5.48,5.48
1336,2,0,1.79,2.31,2.83
1337,1,3,4.67,4.67,4.67
1338,1,1,2.01,2.01,2.01
1339,1,3,4.11,4.11,4.11
1340,1,0,5.17,5.17,5.17
1341,1,4,4.67,4.67,4.67
1342,1,1,2.39,2.39,2.39
1343,1,4,5.365,5.365,5.365
1344,1,4,2.28,2.28,2.28
1345,1,4,4.77,4.77,4.77
1346,1,2,5.27,5.27,5.27
1347,1,3,3.28,3.28,3.28
1348,1,2,4.95,4.95,4.95
1349,1,3,4.74,4.74,4.74
1350,1,3,5.56,5.56,5.56
1351,1,3,4.67,4.67,4.67
1352,1,4,2.54,2.54,2.54
1353,1,2,2.66,2.66,2.66
1354,1,2,6.18,6.18,6.18
1355,1,0,2.93,2.93,2.93
1356,1,1,4.52,4.52,4.52
1357,1,2,5.1,5.1,5.1
1358,1,4,4.79,4.79,4.79
1359,1,2,1.98,1.98,1.98
1360,1,3,4.36,4.36,4.36
1361,1,2,4.8,4.8,4.8
1362,1,3,3.26,3.26,3.26
1363,1,0,4.7,4.7,4.7
1364,1,1,4.59,4.59,4.59
1365,1,3,4.87,4.87,4.87
1366,1,2,2.51,2.51,2.51
1367,1,1,4.55,4.55,4.55
1368,1,3,4.42,4.42,4.42
1369,1,0,3.56,3.56,3.56
1370,1,0,5.33,5.33,5.33
1371,1,2,4.58,4.58,4.58
1372,1,0,3.39,3.39,3.39
1373,1,0,4.24,4.24,4.24
1374,1,4,4.56,4.56,4.56
1375,1,4,4.72,4.72,4.72
1376,1,2,5.3,5.3,5.3
1377,1,3,3.54,3.54,3.54
1378,1,4,3.92,3.92,3.92
1379,1,3,3.16,3.16,3.16
1380,1,2,5.79,5.79,5.79
1381,1,3,4.97,4.97,4.97
1382,1,2,5.21,5.21,5.21
1383,1,1,2.82,2.82,2.82
1384,1,3,5.06,5.06,5.06
1385,1,4,1.84,1.84,1.84
1386,1,0,4.53,4.53,4.53
1387,1,1,5.41,5.41,5.41
1388,1,3,4.02,4.02,4.02
1389,1,3,1.88,1.88,1.88
1390,1,1,6.23,6.23,6.23
1391,1,4,4.95,4.95,4.95
1392,1,3,4.81,4.81,4.81
1393,1,0,4.24,4.24,4.24
1394,1,1,4.74,4.74,4.74
1395,1,3,5.28,5.28,5.28
1396,1,4,4.66,4.66,4.66
1397,1,2,5.1,5.1,5.1
1398,1,0,4.85,4.85,4.85
1399,2,2,4.11,4.41,4.71
1400,1,2,4.93,4.93,4.93
1401,1,2,4.11,4.11,4.11
1402,1,3,4.16,4.16,4.16
1403,1,0,4.37,4.37,4.37
1404,1,4,3.66,3.66,3.66
1405,1,2,2.67,2.67,2.67
1406,1,4,5.08,5.08,5.08
1407,1,0,4.86,4.86,4.86
1408,1,0,6.14,6.14,6.14
1409,1,0,4.53,4.53,4.53
1410,1,2,5.31,5.31,5.31
1411,1,1,5.37,5.37,5.37
1412,1,0,5.33,5.33,5.33
1413,1,0,4.15,4.15,4.15
1414,1,2,3.5,3.5,3.5
1415,1,1,4.8,4.8,4.8
1416,1,1,5.14,5.14,5.14
1417,1,2,5.09,5.09,5.09
1418,1,1,5.1,5.1,5.1
1419,1,3,4.75,4.75,4.75
1420,3,1,4.53,4.97,5.58
1421,1,4,5.23,5.23,5.23
1422,1,3,4.61,4.61,4.61
1423,1,0,4.26,4.26,4.26
1424,1,4,4.42,4.42,4.42
1425,1,4,5.43,5.43,5.43
1426,1,2,4.56,4.56,4.56
1427,1,0,4.84,4.84,4.84
1428,1,2,4.63,4.63,4.63
1429,1,2,5.46,5.46,5.46
1430,1,1,5.82,5.82,5.82
1431,1,4,3.39,3.39,3.39
1432,1,3,4.11,4.11,4.11
1433,1,0,4.31,4.31,4.31
1434,1,2,4.39,4.39,4.39
1435,1,2,1.7,1.7,1.7
1436,1,3,4.73,4.73,4.73
1437,2,2,1.83,1.935,2.04
1438,1,2,4.18,4.18,4.18
1439,1,3,5.11,5.11,5.11
1440,2,3,1.77,1.8399999999999999,1.91
1441,1,1,5.09,5.09,5.09
1442,1,2,5.56,5.56,5.56
1443,1,1,4.87,4.87,4.87
1444,1,2,4.84,4.84,4.84
1445,1,2,3.78,3.78,3.78
1446,1,0,4.63,4.63,4.63
1447,1,3,4.4,4.4,4.4
1448,1,0,5.48,5.48,5.48
1449,1,4,4.41,4.41,4.41
1450,1,0,3.2,3.2,3.2
1451,1,4,5.05,5.05,5.05
1452,1,0,4.19,4.19,4.19
1453,1,2,5.4,5.4,5.4
1454,1,2,5.55,5.55,5.55
1455,1,4,5.27,5.27,5.27
1456,1,4,5.05,5.05,5.05
1457,1,2,4.57,4.57,4.57
1458,1,1,5.37,5.37,5.37
1459,1,1,4.56,4.56,4.56
1460,1,1,4.49,4.49,4.49
1461,1,2,4.09,4.09,4.09
1462,1,1,5.23,5.23,5.23
1463,1,3,4.67,4.67,4.67
1464,1,1,4.53,4.53,4.53
1465,1,3,4.98,4.98,4.98
1466,1,2,5.11,5.11,5.11
1467,1,4,4.54,4.54,4.54
1468,1,1,4.87,4.87,4.87
1469,1,2,3.87,3.87,3.87
1470,1,1,4.54,4.54,4.54
1471,1,4,5.69,5.69,5.69
1472,1,1,4.51,4.51,4.51
1473,1,0,5.22,5.22,5.22
1474,1,1,4.27,4.27,4.27
1475,1,2,4.81,4.81,4.81
1476,1,0,4.57,4.57,4.57
1477,1,2,5.24,5.24,5.24
1478,1,2,5.21,5.21,5.21
1479,1,2,4.34,4.34,4.34
1480,1,0,4.8,4.8,4.8
1481,1,4,4.86,4.86,4.86
1482,1,4,4.86,4.86,4.86
1483,1,3,3.19,3.19,3.19
1484,1,0,5.66,5.66,5.66
1485,1,3,6.32,6.32,6.32
1486,1,2,4.98,4.98,4.98
1487,1,4,4.96,4.96,4.96
1488,1,2,4.25,4.25,4.25
1489,1,1,4.61,4.61,4.61
1490,1,0,4.97,4.97,4.97
1491,1,0,2.69,2.69,2.69
1492,1,1,4.78,4.78,4.78
1493,1,2,5.16,5.16,5.16
1494,1,2,5.22,5.22,5.22
1495,1,1,3.9,3.9,3.9
1496,1,2,3.16,3.16,3.16
1497,1,1,5.09,5.09,5.09
1498,1,2,5.29,5.29,5.29
1499,1,1,4.68,4.68,4.68
1500,1,2,5.53,5.53,5.53
1501,1,3,4.13,4.13,4.13
1502,1,1,5.25,5.25,5.25
1503,1,3,3.91,3.91,3.91
1504,1,3,4.72,4.72,4.72
1505,1,4,3.16,3.16,3.16
1506,1,3,5.1,5.1,5.1
1507,1,2,4.69,4.69,4.69
1508,1,0,5.04,5.04,5.04
1509,1,1,4.52,4.52,4.52
